category,message,uz-UZ,oz-UZ,ru-RU,en-US,kk-UZ,tg-TG,kz-KZ,tm-TM,kg-KG
app,"Bank Info Details","Bank ma'lumotlari","Банк маълумотлари","Банковские реквизиты","Bank Info Details",,,,,
app,Barchasi,Barchasi,Барчаси,Все,All,,,,,
app,"Base File","Asos hujjat","Асос ҳужжат",Основание,Document,,,,,
app,"Base Scholarship List",Stipendiya_bazaviy,Стипендия_базавий,Стипендия_базовый,Base_Scholarship,,,,,
app,Batafsil,Batafsil,Батафсил,Подробнее,"More details",,,,,
app,"Batch Rate","Diplom ballari","Диплом баллари","Диломные баллы","Diploma marks",,,,,
app,"Batch rating students","Talabalarning diplom ballari","Талабаларнинг диплом баллари","Дипломные баллы студентов","Diploma marks of students",,,,,
app,"Bayonnomani tanlang","Bayonnomani tanlang","Баённомани танланг","Выберите протокол","Select protocol",,,,,
app,"Bazaviy stipendiya VMQ-59","Bazaviy stipendiya","Базавий стипендия","Базовая стиендия","Basic Scholarship",,,,,
app,"Bazoviy shartnoma","Shartnoma (bazaviy)","Шартнома (базавий)","Контракт (базовый)","Contract (basic)",,,,,
app,"{b}{client}{/b} is requesting permission to access your account.","{b}{client}{/b} akkauntingizga kirishga ruxsat so‘ramoqda","{b}{client}{/b} аккаунтингизга киришга рухсат сўрамоқда","{b}{client}{/b} запрашивает разрешение на доступ к вашему аккаунту","{b}{client}{/b} is requesting permission to access your account",,,,,
app,"{b}{contact}{/b} manziliga PIN kod yuborildi.","{b}{contact}{/b} manziliga PIN kod yuborildi","{b}{contact}{/b} манзилига ПИН код юборилди","PIN-код отправлен на адрес {b}{contact}{/b}","PIN-code has been sent to address {b}{contact}{/b}",,,,,
app,"{b}{contact}{/b} telefon raqamiga PIN kod yuborildi.","{b}{contact}{/b} telefon raqamiga PIN kod yuborildi","{b}{contact}{/b} телефон рақамига PIN код юборилди","PIN-код отправлен на номер телефона {b}{contact}{/b}","PIN code has been sent to phone number {b}{contact}{/b}",,,,,
app,"{b}{count}{/b} users voted","{b}{count}{/b} nafar qatnashchi ovoz berdi","{b}{count}{/b} нафар қатнашчи овоз берди","Проголосовали {b}{count}{/b} пользователей","{b}{count}{/b} users voted",,,,,
app,"Begin date","Boshlanish sanasi","Бошланиш санаси","Дата начала","Begin date",,,,,
app,"Begin Date","Boshlanish sanasi","Бошланиш санаси","Дата начало",,,,,,
app,"Begin Rest Credit Amount","O'tgan yil haqqi","Ўтган йил ҳаққи","Личная плата п.г.","Credit for last year",,,,,
app,"Begin Rest Debt Amount","O'tgan yil qarzi","Ўтган йил қарзи","Долг за п.г.","Debt for last year",,,,,
app,"Berilgan daraja","Berilgan daraja","Берилган даража","Академический степень","Academic degree",,,,,
app,"Berilgan foydalanuvchi uchun parolni almashtirish imkoni mavjud emas","Ushbu foydalanuvchi uchun parolni almashtirish imkoni mavjud emas","Ушбу фойдаланувчи учун паролни алмаштириш имкони мавжуд эмас","Невозможно изменить пароль для этого пользователя","It is not possible to change the password for this user",,,,,
app,"Berilgan vaqti","Berilgan vaqti","Берилган вақти","Дата выдачи","Date of issue",,,,,
app,"Bilateral Contract","2 tomonlama","2 томонлама",Двухсторонний,,,,,,
app,"Bilateral Contract Type","Shartnoma (2 tomonlama)","Шартнома (2 томонлама)","Контракт (2 сторонная)","Contract (2 side)",,,,,
app,Billing,Billing,Биллинг,Биллинг,Billing,,,,,
app,"Billing Accepted","Billingda qabul qilindi","Биллингда қабул қилинди","Принято в Биллинге","Billing Accepted",,,,,
app,"Billing Approved","Billingda tasdiqlandi","Биллингда тасдиқланди","Утверждено в Биллинге","Billing Approved",,,,,
app,"Billing Cancelled","Billingda bekor qilingan","Биллингда бекор қилинган","Отклонено в Биллинге","Billing Cancelled",,,,,
app,"Billing Completed",Yakunlandi,Якунланди,Завершено,Completed,,,,,
app,"Billing Created","Billingda saqlangan","Биллингда сақланган","Сохранено в Биллинге","Billing Created",,,,,
app,"Billing Declined","Billingda rad etildi","Биллингда рад етилди","Отказано в Биллинге","Billing Declined",,,,,
app,"Billing Deleted","Billingda o'chirildi","Биллингда ўчирилди","Удалено в Биллинге","Billing Deleted",,,,,
app,"Billing Login","Billing Logini","Биллинг логини","Логин биллинга","Billing Login",,,,,
app,"Billing Not Checked",Tekshirilmagan,Текширилмаган,"Не проверен","Billing Not Checked",,,,,
app,"Billing Password","Billing paroli","Биллинг пароли","Пароль биллинга","Billing Password",,,,,
app,"Billing Pending","Tekshirishga yuborildi","Текширишга юборилди","Отправлено на проверку","Billing Pending",,,,,
app,"Billing Processing","To'lovga yuborildi","Тўловга юборилди","Отправлено на оплату","Billing Processing",,,,,
app,"Billing Rejected","Billingda inkor etildi","Биллингда инкор етилди","Отклонено в Биллинге","Billing Rejected",,,,,
app,"Billing Reviewed","Billingda tekshirilmoqda","Биллингда текширилмоқда","Проверяется в Биллинге","Billing Reviewed",,,,,
app,"Billing Sent","Billingda yuborildi","Биллингда юборилди","Отправлено в Биллинге","Billing Sent",,,,,
app,"Billing Status","Billing Status","Биллинг статус","Биллинг статус","Billing Status",,,,,
app,"Billing tizimiga ulanishda xatolik mavjud","Billing tizimiga ulanishda xatolik mavjud","Биллинг тизимига уланишда хатолик мавжуд","Произошла ошибка при подключении к биллинговой системе","There is an error connecting to the billing system",,,,,
app,"Billing Waiting","Billingni kutmoqda","Биллингни кутмоқда","Ожидание биллингга","Billing Waiting",,,,,
app,"Birth Date","Tug‘ilgan sana","Туғилган сана","Дата рождения",,,,,,
app,"Bitiruvchining shaxsiy ma'lumotlari","BITIRUVCHINING SHAXSIY MA'LUMOTLARI","БИТИРУВЧИНИНГ ШАХСИЙ МАЪЛУМОТЛАРИ","ЛИЧНАЯ ИНФОРМАЦИЯ ВЫПУСКНИКА","PERSONAL INFORMATION OF THE GRADUATE",,,,,
app,"Bitiruvchi tamomlagan OTMning ma'lumotlari","BITIRUVCHINING TA'LIM MA'LUMOTLARI","БИТИРУВЧИНИНГ ТАЪЛИМ МАЪЛУМОТЛАРИ","ИНФОРМАЦИЯ О ВЫСШЕМ ОБРАЗОВАНИИ","INFORMATION ABOUT HIGHER EDUCATION",,,,,
app,"Bitiruv malakaviy ishi (magistrlik dissertatsiyasi) himoyasi","Bitiruv ishi (magistrlik dissertatsiyasi) himoyasi","Битирув иши (магистрлик диссертацияси) ҳимояси","Защита выпускных работ (магистерских диссертаций)","Defense of graduation theses (master's theses)",,,,,
app,"Bitta o'quv reja bo'lganligi sababli fanlarni moslashtirish amalga oshirilmaydi","O'quv rejalar bir xil bo'lganligi sababli fanlarni moslashtirish amalga oshirilmaydi","Ўқув режалар бир хил бўлганлиги сабабли фанларни мослаштириш амалга оширилмайди","Поскольку учебные программы совпадают, соответствия предметов не будет определятся","Since the curricula are the same, the correspondence of courses will not be determined",,,,,
app,"Blank Number","Blank raqami","Бланк рақами","Номер бланка","Blank Number",,,,,
app,Blocked,Bloklangan,Блокланган,Блокирован,,,,,,
app,"BMI (magistrlik dissertatsiyasi)ni bajarishga va topshirishga ruxsat berilgan buyruq raqami va sanasi","Bitiruv ishini (magistrlik dissertatsiyasi) bajarishga va topshirishga ruxsat berilgan buyruq raqami va sanasi","Битирув ишини (магистрлик диссертацияси) бажариш ва топширишга рухсат берилган буйруқ рақами ва санаси","Номер и дата приказа об утверждении темы и выполнении выпускных работ (магистерских диссертаций)","Number and date of the order on the approval of the topic and implementation of graduation thesis (master's thesis)",,,,,
app,"BMI va MD mavzulari soni {limit} tadan oshganligi sababli, ro'yxat generatsiya qilish navbatga qo'yildi va tez orada Xabarlar saxifasiga jo'natiladi.","BMI va MD mavzulari soni {limit} tadan oshganligi sababli, ro'yxat generatsiya qilish navbatga qo'yildi va tez orada Xabarlar saxifasiga jo'natiladi.","БМИ ва МД лар сони {limit} тадан ошганлиги сабабли, рўйхат генерация қилиш навбатга қўйилди ва тез орада Хабарлар саҳифасига жўнатилади.","Поскольку количество тем ВКР и МД превысило {limit}, список поставлен в очередь на формирование и скоро будет опубликован на странице «Сообщения».","Since the number of BMI and MD topics has exceeded {limit}, the list has been queued for generation and will be posted to the Messages page soon.",,,,,
app,Body,"Buyruq tarkibi","Буйруқ таркиби","Содержание приказа",,,,,,
app,Boshqa,Boshqa,Бошқа,Другое,Other,,,,,
app,Both,"Ikkalasi imkonli","Иккаласи имконли","Оба доступно","Both access",,,,,
app,Budget,Budjet,Бюджет,Бюджет,,,,,,
app,"Budget Student","Davlat granti","Давлат гранти","Гос. грант",,,,,,
app,"Bugun, {time}","Bugun, {time}","Бугун, {time}","Сегодня, {time}",,,,,,
app,Building,Bino,Бино,Здание,,,,,,
app,"Building [{code}] created successfully","Bino [{code}] muvaffaqiyatli yaratildi","Бино [{code}] муваффақиятли яратилди","Здание [{code}] успешно создано",,,,,,
app,"Building [{code}] deleted successfully","[{code}] bino muvaffaqiyatli o‘chirildi","[{code}] бино муваффақиятли ўчирилди","Здание [{code}] успешно удалено",,,,,,
app,"Building [{code}] updated successfully","[{code}] bino muvaffaqiyatli o‘zgartirildi","[{code}] бино муваффақиятли ўзгартирилди","Здание [{code}] успешно изменено",,,,,,
app,"Bu qanday kod?","Bu qanday kod?","Бу қандай код?","Что за код?",,,,,,
app,Buyruq,Buyruq,Буйруқ,Приказ,Orders,,,,,
app,"Buyruq maqsadi","Buyruq maqsadi","Буйруқ мақсади","Цель приказа",,,,,,
app,"Buyruqni tanlang","Buyruqni tanlang","Буйруқни танланг","Выберите приказ",,,,,,
app,"Buyruq sanasi","Buyruq sanasi","Буйруқ санаси","Дата приказа",,,,,,
app,"Buyruq tanasi","Buyruq tarkibi","Буйруқ таркиби","Содержание приказа",,,,,,
app,"Buyruq yakuni va asosi","Buyruq xulosasi","Буйруқ хулосаси","Заключение приказа",,,,,,
app,"By Academic Degree","Ilmiy daraja","Илмий даража","Ученая степень",,,,,,
app,"By Academic Rank","Ilmiy unvon","Илмий унвон","Ученое звание",,,,,,
app,"By All Student","Kurslar bo'yicha","Курслар бўйича","По курсам",,,,,,
app,"By Coefficient","Koeffitsient bo'yicha","Коэффициент бўйича","По коэффициенту","By Coefficient",,,,,
app,"By Current+Midterm",Oraliq,Оралиқ,Промежуточный,Midterm,,,,,
app,"By Department","Kafedra bo'yicha","Кафедра бўйича","По кафедрам","By Department",,,,,
app,"By Faculty","Fakultet bo'yicha","Факультет бўйича","По факультетам","By Faculty",,,,,
app,"By General",Yakuniy,Якуний,Итоговый,Final,,,,,
app,"By Group","Guruh bo'yicha","Гуруҳ бўйича","По группам","By Groups",,,,,
app,"By Lesson Pair","Juftliklar bo'yicha","Жуфтликлар бўйича","По парам","By Lesson plan",,,,,
app,"By Level",Kurs,Курс,Курс,,,,,,
app,"By Nation",Millat,Миллат,Национальность,,,,,,
app,"By Post",Lavozim,Лавозим,Должность,,,,,,
app,"By Projects",Loyihalar,Лойиҳалар,Проекты,Projects,,,,,
app,"By Publications",Nashrlar,Нашрлар,Публикации,Publications,,,,,
app,"By Region",Hudud,Ҳудуд,Регион,,,,,,
app,"By relation to graded lessons","Baholangan darslar soniga nisbatan","Баҳоланган дарслар сонига нисбатан","По количеству оцененных уроков","Regarding the number of evaluated lessons",,,,,
app,"By relation to total lessons","Jami darslar soniga nisbatan","Жами дарслар сонига нисбатан","По общему количеству занятий","Regarding the total number of lessons",,,,,
app,"By Resources",Resurslar,Ресурслар,Ресурсы,,,,,,
app,"By Social Category","Ijtimoiy toifa bo'yicha","Ижтимоий тоифа бўйича","По социальной категории",,,,,,
app,"By Specialty",Mutaxassislik,Мутахассислик,Специальность,,,,,,
app,"By Student","Talaba bo'yicha","Талаба бўйича","По студентам",,,,,,
app,"By Student General","Talaba (ijtimoiy)","Талаба (ижтимоий)","Студенты (социал)",,,,,,
app,"By Sum","Summa bo'yicha","Сумма бўйича","По сумме","By Sum",,,,,
app,"by task",Topshiriq,Топшириқ,Задача,,,,,,
app,"By Teacher","O'qituvchi bo'yicha","Ўқитувчи бўйича","По учителям",,,,,,
app,"by test",Test,Тест,Тест,,,,,,
app,"By WorkType","Mehnat shakli","Меҳнат шакли","Форма занятости",,,,,,
app,"Calculate GPA",Hisoblash,Ҳисоблаш,Вычислить,,,,,,
app,"Calculation Type","Hisoblash turi","Ҳисоблаш тури","Вид расчета","Calculation Type",,,,,
app,"Calendar Plan","Kalendar reja","Календар режа","Календарный план","Calendar Plan",,,,,
app,"CALENDAR PLAN","KALENDAR REJA","КАЛЕНДАР РЕЖА","КАЛЕНДАРНЫЙ ПЛАН","CALENDAR PLAN",,,,,
app,Callback,"Qayta aloqa","Қайта алоқа","Обратный вызов",Callback,,,,,
app,"Call Sheet Add",Qo'shish,Қўшиш,Добавить,"Call Sheet Add",,,,,
app,"Call Sheet Information","Chaqiruv qog'ozi ma'lumotlari","Чақирув қоғози маълумотлари","Информация о пригласительном листе","Invitation letter Information",,,,,
app,Cancel,Bekor,Бекор,Отмена,,,,,,
app,"Cancel Date","Bekor qilish sanasi","Бекор қилиш санаси","Дата отмены","Cancel Date",,,,,
app,Cancelled,Bekor,Бекор,Аннулир.,Cancelled,,,,,
app,"Cancel Reason","Bekor qilish sababi","Бекор қилиш сабаби","Причина отмены","Cancel Reason",,,,,
app,"Cancel Scholarship","Bekor qilish","Бекор қилиш","Отмена стипендии","Cancel Scholarship",,,,,
app,"Cancel Type","Bekor qilish","Бекор қилиш",Отменить,"Cancel Type",,,,,
app,"Cannot accept [{number}] diploma","Diplomni [{number}] tasdiqlab bo'lmaydi","Дипломни [{number}] тасдиқлаб бўлмайди","Невозможно утвердит диплом [{number}]","Cannot accept diploma [{number}]",,,,,
app,"Can not delete accepted diploma","Tasdiqlangan diplom ma'lumotlarini o'chirib bo'lmaydi","Тасдиқланган димплом маълумотларини ўчириб бўлмайди","Невозможно удалить данные, так как диплом утвержден","Can not delete accepted diploma",,,,,
app,"Can not delete supper admin",,,,,,,,,
app,"Can not save accepted diploma.","Tasdiqlangan diplom ma'lumotlarini saqlab bo'lmaydi","Тасдиқланган диплом маълумотларини сақлаб бўлмайди","Невозможно сохранить данные, так как диплом утвержден","Can not save accepted diploma",,,,,
app,"Can not update ordered diploma blank","Diplom blanki bilan bog'langan ma'lumotlar bo'lganligi uchun uni o'zgartirish mumkin emas","Диплом бланки билан боғланган маълумотлар бўлганлиги учун уни ўзгартириш мумкин эмас","Бланк диплома нельзя изменить, так как он содержит связанную информацию","Diploma blank cannot be changed because it contains associated information",,,,,
app,"Can Transfer",,,,,,,,,
app,"Card Amount","Karta summasi","Карта суммаси","Сумма карты","Card Amount",,,,,
app,"Card Number","Karta raqami","Карта рақами","Номер карты","Card Number",,,,,
app,"Cash Amount","Naqd summa","Нақд сумма","Сумма наличных","Cash Amount",,,,,
app,Category,Toifa,Тоифа,Категория,,,,,,
app,Certificate,Sertifikat,Сертификат,Сертификат,Certificate,,,,,
app,"Certificate Committee",DAK,ДАК,ГЭК,,,,,,
app,"Certificate committee `{id}` created successfully.","Davlat attestasiya komissiyasi `{id}` muvaffaqiyatli yaratildi","Давлат аттестация комиссияси `{id}` муваффақиятли яратилди","Государственная экзаменационная комиссия `{id}` успешно создана",,,,,,
app,"Certificate committee `{id}` deleted successfully","Davlat attestasiya komissiyasi `{id}` muvaffaqiyatli o'chirildi","Давлат аттестация комиссияси `{id}` муваффақиятли ўчирилди","Государственная экзаменационная комиссия `{id}` успешно удалена",,,,,,
app,"Certificate committee `{id}` updated successfully.","Davlat attestasiya komissiyasi `{id}` muvaffaqiyatli o'zgartirildi","Давлат аттестация комиссияси `{id}` муваффақиятли ўзгартирилди","Государственная экзаменационная комиссия `{id}` успешно обновлена",,,,,,
app,"Certificate committee info","DAK qarori sanasi","ДАК қарори санаси","Дата решения ГЭК","SAC decision date",,,,,
app,"Certificate Committee Member `{id}` created successfully.","DAK a'zosi `{id}` muvaffaqiyatli yaratildi","ДАК аъзоси `{id}` муваффақиятли яратилди","Член ГЭК `{id}` успешно создан",,,,,,
app,"Certificate Committee Member `{id}` deleted successfully","DAK a'zosi `{id}` muvaffaqiyatli o'chirildi","ДАК аъзоси `{id}` муваффақиятли ўчирилди","Член ГЭК `{id}` успешно удален",,,,,,
app,"Certificate Committee Member `{id}` updated successfully.","DAK a'zosi `{id}` muvaffaqiyatli o'zgartirildi","ДАК аъзоси `{id}` муваффақиятли ўзгартирилди","Член ГЭК `{id}` успешно обновлен",,,,,,
app,"Certificate Committee Result","DAK natijalari","ДАК натижалари","Результаты ГЭК",,,,,,
app,"Certificate committee result `{id}` created successfully.","DAK qarori `{id}` muvaffaqiyatli yaratildi","ДАК қарори `{id}` муваффақиятли яратилди","Решение ГЭК `{id}` успешно создано",,,,,,
app,"Certificate committee result `{id}` deleted successfully","DAK qarori `{id}` muvaffaqiyatli o'chirildi","ДАК қарори `{id}` муваффақиятли ўчирилди","Решение ГЭК `{id}` успешно удалено",,,,,,
app,"Certificate committee result `{id}` updated successfully.","DAK qarori `{id}` muvaffaqiyatli o'zgartirildi","ДАК қарори `{id}` муваффақиятли ўзгартирилди","Решение ГЭК `{id}` успешно обновлено",,,,,,
app,"Certificate Date","Guvohnoma sanasi","Гувоҳнома санаси","Дата сертификата",,,,,,
app,"Certificate for student {name} has been updated","{name}ning talabalik guvohnomasi muvaffaqiyatli yangilandi","{name}нинг талабалик гувоҳномаси муваффақиятли ўзгартирилди","Студенческий билет для {name} успешно обновлен","Student ID card for {name} has been successfully updated",,,,,
app,"Certificate Grade","Sertifikat darajasi","Сертификат даражаси","Уровень сертификата","Certificate Grade",,,,,
app,"Certificate Information","Talaba guvohnomasi","Талаба гувоҳномаси","Студенческий билет","Student ID card",,,,,
app,"Certificate Name","Sertifikat nomi","Сертификат номи","Название сертификата","Certificate Name",,,,,
app,"Certificate Number","Guvohnoma raqami","Гувоҳнома рақами","Номер сертификата",,,,,,
app,Certificates,Sertifikatlar,Сертификатлар,Сертификаты,Certificates,,,,,
app,"Certificate Subject","Sertifikat fani","Сертификат фани","Предмет сертификата","Certificate Subject",,,,,
app,"Certificate Type","Sertifikat turi","Сертификат тури","Тип сертификата","Certificate Type",,,,,
app,"Certificate Url","Sertifikat Url","Сертификат Url","Url сертификата","Certificate Url",,,,,
app,"Certificate were identified for students in the group.","Tanlangan talabalar uchu talabalik guvohnomasi yaratildi","Танланган талабалар учун талабалик гувоҳномаси яратилди","Студенческий билет успешно создан для выбранных студентов","Student ID has been successfully created for selected students",,,,,
app,"Cert Number","Guvohnoma raqami","Гувоҳнома рақами","Номер сертификата","Cert Number",,,,,
app,"Changed status of {count} employees to {status}","{count} ta o'qituvchining holati {status} ga o'zgartirildi","{count} та ўқитувчининг ҳолати {status} га ўзгартирилди","Статус {count} преподавателей изменен на {status}",,,,,,
app,"Change Finish At","Tugash vaqtini o'zgartirish","Тугаш вақтини ўзгартириш","Изменить время окончание","Change Finish time",,,,,
app,"Change Information",O‘zgartirish,Ўзгартириш,Изменение,,,,,,
app,"Change information of HEI","OTM ma’lumotlarini o‘zgartirish","ОТМ маълумотларини ўзгартириш","Изменение данных ВУЗа",,,,,,
app,"Change Passport",Pasport,Паспорт,Паспорт,,,,,,
app,"Change Password","Parolni o‘zgartirish","Паролни ўзгартириш","Изменение пароля",,,,,,
app,"Change Start At","Boshlash vaqtini o'zgartirish","Бошлаш вақтини ўзгартириш","Изменить время начало","Change Start time",,,,,
app,"Change Status","Statusni o'zgartirish","Статусни ўзгартириш","Изменить статус","Change Status",,,,,
app,Check,Tekshirish,Текшириш,Проверка,,,,,,
app,"Check All Actual","Aktuallarni tekshirish",,,,,,,,
app,"Check All Different","Farqlilarni tekshirish",,,,,,,,
app,"Check All Error","Tekshirishda xatolarni qayta tekshirish",,,,,,,,
app,"Check All Not Checked","Tekshirilmaganlarni tekshirish",,,,,,,,
app,"Check All Not Found","Mavjud emaslarni tekshirish",,,,,,,,
app,"Check Circulation",Imzo,Имзо,Подпись,Check,,,,,
app,"Check Document",Imzolash,Имзолаш,Подпись,Sign,,,,,
app,Checked,O'tildi,Ўтилди,Пройден,,,,,,
app,"Checked Count","Aylanma varaqa imzolari soni","Айланма варақа имзолари сони","Кол-по подписей обходного листа","Circulation sheet сhecked Count",,,,,
app,"Checked Date","Imzolagan sana","Имзолаган сана","Дата подписи","Signed Date",,,,,
app,"Checked Status","Imzolash holati","Имзолаш ҳолати","Статус подписи","Signed Status",,,,,
app,"Check Scholarship Decree","Imzo belgisi","Имзо белгиси","Статус подписи","Sign status",,,,,
app,"Check Scholarship Protocol",Tasdiqlash,Тасдиқлаш,Подтверждение,Confirmation,,,,,
app,"Check Status","Statusni tekshirish","Статусни текшириш","Проверить статус","Check Status",,,,,
app,"Check Sync Data","Ma'lumotlarni tekshirish",,,,,,,,
app,"Choice Accepted","E'lon qilish","Эълон қилиш",Объявить,Announce,,,,,
app,"Choice Created By","Tanlov yaratilgan","Танлов яратилган","Выбор создан","Selection Created By",,,,,
app,"Choice End Date","Yakunlanish sanasi","Якунланиш санаси","Дата окончание","End Date",,,,,
app,"Choice Start Date","Boshlanish sanasi","Бошланиш санаси","Дата начала","Start Date",,,,,
app,-Choose-,Tanlash,Танлаш,Выбрать,Select,,,,,
app,Choose,Tanlash,Танлаш,Выбрать,,,,,,
app,"-Choose Accommodation-","Turar joyni tanlang","Турар жойни танланг","Выберите местожительство","Choose Accommodation",,,,,
app,"Choose {attribute}","{attribute}ni tanlang","{attribute}ни танланг","Выберите {attribute}",,,,,,
app,"-Choose Award Category-","Yutuq toifasini tanlang","Ютуқ тоифасини танланг","Выберите категорию",,,,,,
app,"-Choose Certificate Committee-","DAKni tanlang","ДАКни танланг","Выберите ГЭК",,,,,,
app,"Choose Contact","Kontaktni tanlang","Контактни танланг","Выберите контакт",,,,,,
app,"Choose Contract Type","Shartnoma turini tanlang","Шартнома турини танланг","Выберите вид контракта",,,,,,
app,"-Choose Curriculum-","O‘quv rejani tanlang","Ўқув режани танланг","Выберите учебный план",,,,,,
app,"-Choose Department-","Kafedrani tanlang","Кафедрани танланг","Выберите кафедру",,,,,,
app,"Choose Department","Kafedrani tanlang","Кафедрани танланг","Выберите кафедру",,,,,,
app,"-Choose Diploma Form-","Diplom shaklini tanlang","Диплом шаклини танланг","Выберите форму диплома","Choose Diploma Form",,,,,
app,"-Choose Direction-","Bo'linmani tanlang","Бўлинмани танланг","Выберите подразделение","Select Division",,,,,
app,"Choose Direction","Bo'limni tanlang","Бўлимни танланг","Выберите дирекция",,,,,,
app,"Choose Doctorate Specialty","Ixtisoslikni tanlang","Ихтисосликни танланг","Выбрать специальности",,,,,,
app,"-Choose Education Form-","Ta’lim shaklini tanlang","Таълим шаклини танланг","Выберите форму обучения",,,,,,
app,"-Choose Education Lang-","Ta'lim tilini tanlang","Таълим тилини танланг","Выберите язык обучения","Choose Education Lang",,,,,
app,"-Choose Education type-","Ta’lim turini tanlang","Таълим турини танланг","Выберите тип образования",,,,,,
app,"-Choose Education Type","Ta’lim turini tanlang","Таълим турини танланг","Выберите тип образования",,,,,,
app,"-Choose Education Type-","Ta’lim turini tanlang","Таълим турини танланг","Выберите тип образования",,,,,,
app,"-Choose Education Year-","O'quv yilini tanlang","Ўқув йилини танланг","Выберите учебный год",,,,,,
app,"Choose Education Year","O'quv yilini tanlang","Ўқув йилини танланг","Выберите учебный год",,,,,,
app,"-Choose Election date-","Yilni tanlang","Йилни танланг","Выберите год",,,,,,
app,"-Choose Employee-","-Xodimni tanlang-","-Ходимни танланг-","-Выберите сотрудника-",,,,,,
app,"Choose employee to register staff","Shtatni belgilash uchun xodimni tanlash","Штатни белгилаш учун ходимни танлаш","Выберите сотрудника для определения штата",,,,,,
app,"-Choose faculty-","Fakultetni tanlang","Факультетни танланг","Выберите факультет",,,,,,
app,"-Choose Faculty-","Fakultetni tanlang","Факультетни танланг","Выберите факультет",,,,,,
app,"Choose Faculty","Fakultetni tanlang","Факультетни танланг","Выберите факультет",,,,,,
app,"Choose GPA calculation method","GPA hisoblash usulini tanlang","GPA ҳисоблаш усулини танланг","Выберите метод вычисление GPA","Choose GPA calculation method",,,,,
app,"-Choose Graduate Fields Type-","Ish sohasini tanlang","Иш соҳасини танланг","Выберите сферу","Choose Job Fields",,,,,
app,"-Choose Graduate Qualifying Work-","Bitiruv ishini tanlang","Битирув ишини танланг","Выберите выпускной работы",,,,,,
app,"-Choose Group-","Guruhni tanlang","Гуруҳни танланг","Выберите группа",,,,,,
app,"Choose Language","Tilni tanlang","Тилни танланг","Выберите язык",,,,,,
app,"-Choose Level-","Kursni tanlang","Курсни танланг","Выберите курс",,,,,,
app,"Choose Parent","Ta'lim sohasini tanlang","Таълим соҳасини танланг","Выберите область образования",,,,,,
app,"Choose Parent Classifier","Ota klassifikator","Ота классификатор","Родительский классификатор",,,,,,
app,"-Choose Payment form-","To‘lov shaklini tanlang","Тўлов шаклини танланг","Выберите форму оплаты",,,,,,
app,"-Choose Position-","Lavozimni tanlang","Лавозимни танланг","Выберите должность",,,,,,
app,"-Choose Quota Type-","Kvota turini tanlang","Квота турини танланг","Выберите тип квоты",,,,,,
app,"Choose Responsible for approval","Mas'ul shaxsni tanlang","Масъул шахсни танланг","Выберите ответственного","Choose Responsible person",,,,,
app,"-Choose Retraining-","Qayta o'qishni tanlang","Қайта ўқишни танланг","Выберите переобучению","Choose Retraining",,,,,
app,"Choose Retraining","Qayta o'qishni tanlash","Қайта ўқишни танлаш","Выбрать переобучение","Select Retraining",,,,,
app,"Choose Role","Rolni tanlang","Ролни танланг","Выберите роль",,,,,,
app,"-Choose Semester-","Semestrni tanlang","Семестрни танланг","Выберите семестр",,,,,,
app,"-Choose Specialty-","Mutaxassislikni tanlang","Мутахассисликни танланг","Выберите специальность",,,,,,
app,"Choose Status","Statusni tanlang","Статусни танланг","Выберите статус",,,,,,
app,"-Choose Student-","Talabani tanlang","Талабани танланг","Выберите студента",,,,,,
app,"-Choose Subject-","Fanni tanlang","Фанни танланг","Выберите предмет",,,,,,
app,"-Choose Subject Group-","Fan guruhini tanlang","Фан гуруҳини танланг","Выберите группу предмета",,,,,,
app,"-Choose Training Type-","-Ta'lim turini tanlang-","-Таълим турини танланг-","-Выберите вида образования-",,,,,,
app,"Choose User","Foydalanuvchini tanlang","Фойдаланувчини танланг","Выберите пользователя",,,,,,
app,"Choose Week","Haftani tanlang","Ҳафтани танланг","Выберите неделю",,,,,,
app,"-Choose Year-","Yilni tanlang","Йилни танланг","Выберите год",,,,,,
app,"Chop etish","Chop etish","Чоп этиш",Печатать,Print,,,,,
app,"Circulation Doc Date","Hujjat sanasi","Ҳужжат санаси","Дата документа","Document Date",,,,,
app,"Circulation Doc Number","Hujjat raqami","Ҳужжат рақами","Номер документа","Doc. Number",,,,,
app,"Circulation Sheet","Bitiruv varaqa","Битирув варақа","Обходной лист","Graduation Sheet",,,,,
app,"Circulation Sheet Comment",Izoh,Изоҳ,Комментарий,Comment,,,,,
app,"Circulation sheet have been accepted","Aylanma varaqa tasdiqlanganligi uchun uning imzosini o'zragtirolmaysiz","Айланма варақа тасдиқланганлиги учун унинг имзосини ўзгартиролмайсиз","Вы не можете изменить подпись обходного листа, потому что он утвержден","You cannot change the sign of the Circulation sheet because it is approved",,,,,
app,"Circulation Sheet List","Aylanma varaqa ro'yxati","Айланма варақа рўйхати","Список обходных лист","Circulation Sheet List",,,,,
app,"Circulation sheet were identified for students in the group.","Belgilangan bitiruvchi talabalar uchun aylanma varaqa qo'shildi","Белгиланган битирувчи талабалар учун айланма варақа қўшилди","Добавлен обходной лист для выбранных выпускников","Circulation list for selected graduates were added",,,,,
app,"Circulation Status",Tasdiq,Тасдиқ,Подтверждение,Confirm,,,,,
app,"Citation Count","Iqtiboslar soni","Иқтибослар сони","Кол-во цитирований",,,,,,
